전시구분, 장소, 제목, 참여작가, 기간, 전시실
현재전시,서울,《움직임을 만드는 움직임》,로테 라이니거. 오스카 피싱거. 렌 라이. 카렐 제만. 노먼 매클래런,2021.04.23-2021.09.26,7전시실 및 미디어랩
현재전시,덕수궁,미술이 문학을 만났을 때,이상. 구본웅. 박태원. 정현웅. 이태준. 김용준. 황술조. 김광균. 김환기. 유영국. 이중섭 등 문학가 및 미술가 50여명,2021.02.04-2021.05.30,전관
현재전시,청주,탄생 100주년 기념 - 박래현. 삼중통역자,박래현,2021.01.26-2021.05.09,기획전시실
현재전시,과천,2021 뉴미디어 소장품 기획전: 불합리한 환상극 ,윌리엄 켄트리지. 날리니 말라니. 양푸둥,2020.12.23-2021.05.30,2원형전시실
현재전시,청주,미술은행·정부미술은행 소장품 기획전시 <풍경을 그려내는 법>,(1. 풍경의 해석) 유근택. 강운. 김현경. 이재삼. 유승호. 배병우. 조정태. 박진명. 오원배. 김해경. 이문주. 이귀영 (2. 시선과 색채) 공성훈. 김진열. 서용선. 이소연. 강홍구. 이철량. 김태혁. 손경숙. 변내리. 이호욱. 정세라. 김병종. 이현호. 손승범 (3. 재료의 변형) 황인기. 김종숙. 김현태. 정형준. 최소영. 조영미. 박희섭. 김남영. 차종례. 박승모. 황혜선. 강은구. 모준석. 황선태. 정정주. 노신경. 정석의. 김상균. 조미영. 이명호,2020.12.22-2021.12.31,개방수장고. 온라인 미술관 VR
현재전시,청주,개방 수장고 개편,,2020.12.03-2026.12.31,개방수장고
현재전시,청주,2020-2021 특별수장고 《국립현대미술관 드로잉 소장품》 ,박수근. 이중섭. 박현기. 정기용. 서용선. 정탁영 등 다수,2020.12.01-2021.10.31,특별수장고
현재전시,청주,MMCA 청주프로젝트 2020 《권민호: 회색 숨》,권민호,2020.10.29-2021.11.14,미술품수장센터 외벽 및 로비
현재전시,과천,2020년 과천 《MMCA 예술놀이마당》,김도희. 김주현. 최재혁,2020.10.14-2021.06.27,야외
현재전시,과천,MMCA 과천프로젝트 2020,stpmj,2020.10.08-2021.05.30,야외조각장 및 특별전시공간
현재전시,과천,시대를 보는 눈 : 한국근현대미술,250여 명,2020.07.21-2022.07.31,3. 4. 5. 6전시실 및 회랑
현재전시,서울,MMCA 소장품 하이라이트 2020+,50여명,2020.05.06-2021.06.27,1전시실
예정전시,과천,다다익선 바로크,백남준. 공성훈. 구본창. 금누리. 문주. 박화영. 육근병. 이수경.   이용백. 정연두. 함경아 등 30여 명,2021.12.16-2022.02.27,1.2전시실. 중앙홀
예정전시,덕수궁,박수근,박수근,2021.11.11-2022.03.01,전관
예정전시,서울,프로젝트 해시태그 2021,,2021.11.02-2022.02.06,8전시실
예정전시,서울,아이 웨이웨이,아이 웨이웨이,2021.10.27-2022.02.01,
예정전시,서울,올해의 작가상 2021,심사를 거쳐 선정된 4인,2021.10.20-2022.01.30,2~4 전시실
예정전시,과천,MMCA 과천프로젝트 2021,선정 중,2021.10.01-2022.05.01,
예정전시,과천,최욱경,최욱경,2021.09.17-2021.11.14,
예정전시,서울,평화예술: 온,선정 중,2021.09.17-2022.02.01,
예정전시,과천,생태예술: 대지의 시간,김주리. 장민승. 정소영. 백정기. 아닉카 이. 피에르 위그. 크리스티앙 볼탕스키 등 / 국내외 작가 약 15팀,2021.09.10-2021.11.14,
예정전시,서울,MMCA 현대차 시리즈 2021,,2021.09.03-2022.02.06,5전시실
예정전시,덕수궁,덕수궁 프로젝트 2021,,2021.08.26-2021.11.28,야외
예정전시,청주,MMCA 청주프로젝트 2021,선정 중,2021.08.01-2022.08.01,
예정전시,청주,미술원. 함께 사는 법,동물과 식물. 인간의 공존과 공유를 다룬 작가 약 20여 명,2021.07.06-2021.11.21,
예정전시,덕수궁,한국미술. 전통과 현대,,2021.07.01-2021.10.10,전관
예정전시,과천,놀이하는 사물,이헌정. 서정화. 신혜림. 이광호. 현광훈. 이상민. 이준아. NOL,2021.06.10-2022.02.27,1원형전시실
예정전시,과천,젊은모색 2021,,2021.05.28-2021.08.15,1.2전시실. 중앙홀
예정전시,서울,정상화,정상화,2021.05.22-2021.09.26,3.4전시실
예정전시,서울,코로나19. 재난과 치유,무진형제. 써니 킴. 이배. 노은님. 허윤희. 안드레아 지텔. 에이샤-리사 아틸라. 리우 와. 타츠오 미야지마 등 국내외 40여 작가/팀,2021.05.14-2021.08.01,5.6전시실 및 서울박스
예정전시,어린이미술관, 《너랑 나랑___》전,김유선. 김지수. 리사박. 서세옥. 이미주. 최호철. 홍승혜. 앤디 워홀,2021.05.04-2022.12.11,
예정전시,서울,황재형: 회천(回天),황재형,2021.04.30-2021.08.22,2전시실
과거전시,과천,올림픽 이펙트: 한국 건축과 디자인 8090,전시 참여: 게리 허스트윗. 구본창. 권민호. 다이아거날 써츠(김사라). 서울과학사. 서울스테이지. 선우훈. 이만익. 진달래&박우혁. 최용준. 텍스처 온 텍스처 / 작품 및 자료 협조: 212 컴퍼니. CDR 어소시에이츠. KBS. 구상. 기흥성 뮤지엄. 롯데월드. 리마크프레스. 목천김정식문화재단. 박영신. 삼성이노베이션뮤지엄. 서울기록원. 서울도서관. 아시아문화원. 엠케이컬렉션. 오창섭. 임진우. 정국현. 정림건축. 조찬원. 조현주. 주식회사 산돌. 퍼시스. 황두진 ,2020.12.17-2021.04.11,1전시실. 중앙홀
과거전시,서울,국립현대미술관 미술은행 소장품 특별전 「돌아온 미래 Super Nature-Hypnagogia」,col.l.age+ 장승효&김용민,2020.12.15-2020.12.27,종친부(야외)
과거전시,서울,올해의 작가상 2020,김민애. 이슬기. 정윤석. 정희승,2020.12.04-2021.04.04,2.3.4전시실
과거전시,서울,이승택 - 거꾸로. 비미술,이승택,2020.11.25-2021.03.28,6.7전시실
과거전시,레지던시,국립현대미술관 창동레지던시 입주보고서 2020,국동완. 배인숙. 빠키,2020.11.20-2020.11.29,창동레지던시
과거전시,과천,유강열과 친구들: 공예의 재구성,유강열. 정규. 이중섭. 최승천. 이영순. 신영옥 등 25명,2020.10.15-2021.04.11,2전시실
과거전시,서울,MMCA 현대차 시리즈 2020: 양혜규―O2 & H2O,양혜규,2020.09.29-2021.02.28,전시실5. 서울박스
과거전시,덕수궁,탄생 100주년 기념: 박래현. 삼중통역자,박래현,2020.09.24-2021.01.03,전관
과거전시,서울,모두를 위한 미술관. 개를 위한 미술관,권도연. 김경재. 김세진. 김용관. 유승종. 정연두. 조각스카웃. 데멜자 코이. 데이비드 슈리글리. 데이비드 클레어보트. 베아테 귀트쇼. 엘리 허경란. 한느 닐슨 & 비르기트 욘센. 김정선 X 김재리. 남화연. 다이애나밴드. 박보나. 양아치. 데릭 저먼. 안리 살라. 장뤼크 고다르,2020.09.04-2020.10.25,7전시실. 전시마당. 미술관마당. MMCA필름앤비디오
과거전시,서울,프로젝트 해시태그 2020,강남버그. 서울퀴어콜렉티브,2020.07.24-2020.09.30,8전시실
과거전시,서울,낯선 전쟁,김성환. 김영덕. 김우조. 김환기. 남관. 문신. 박고석. 변월룡. 신석필. 양달석. 오태학. 우신출. 윤중식. 이수억. 이응노. 이철이. 임응식. 임호. 전선택. 주명덕. 한묵. 존 리치. 테드 주버. 프랭크 노튼. 이보르 헬레. 김세진. 김태동. 나현. 노순택. 박경근. 안은미. 이동표. 이지유. 최대진. 한석경. 논타와 눔벤차폴. 도미야마 다에코. 로베르 크로스&안토아네트 드 용. 리나 사이니 칼라트. 사왕웡세 양훼. 슈토 델라티. 아이 웨이웨이. 에르칸 오즈겐. 요안나 라즈코프스카. 일레인 호이. 도큐먼츠. 오픈데이터 프로젝트. 워크스. 피스모모,2020.06.25-2020.11.08,2.3.4전시실 및 공용공간. 멀티프로젝트홀
과거전시,과천,이승조: 도열하는 기둥,이승조,2020.06.18-2020.11.08,1전시실
과거전시,과천,신나는 빛깔 마당,김용관. 김진송. 박기원. 박미나. 백인교. 조숙진,2020.06.18-2021.03.28,1원형전시실
과거전시,청주,보존과학자 C의 하루,김지수. 류한길. 우종덕. 정정호. 주재범. 김세진. 제로랩. 구본웅. 권진규. 니키 드 생팔. 신미경. 오지호. 육명심. 이갑경. 이서지. 전상범. 정성근 ,2020.05.26-2020.11.29,기획전시실
과거전시,서울,2020 아시아 기획전 《또 다른 가족을 찾아서》,이강승. 에이사 족슨. 98B 콜라보레이터리+허브 메이크 랩+칸티나. 이 이란. 듀킴. 아이작 충 와이. 정유경. 왕 투오. 와타나베 아츠시. 자티왕이 아트 팩토리+버드나무가게. 페미니스트 디자이너 소셜 클럽. (FDSC). 탄디아 페르마디. 사우스 호 시우 남. 니 하오. 레스박,2020.05.22-2020.08.23,5. 6 전시실. 공용 복도 및 전시마당
과거전시,과천,판화. 판화. 판화,국내작가 60여명,2020.05.14-2020.08.16,2전시실
과거전시,덕수궁,미술관에 書: 한국 근현대 서예전,강병인. 고봉주. 권창륜. 김규진. 김기승. 김기창. 김돈희. 김용준. 김응현. 김종건. 김종영. 김창열. 김충현. 김태석. 김환기. 남관. 박대성. 박원규. 배길기. 서병오. 서세옥. 서희환. 석도륜. 손재형. 송성용. 안상수. 여태명. 오세창. 오수환. 유희강. 이강소. 이기우. 이돈흥. 이상현. 이우환. 이응노. 이일구. 이철경. 이한복. 장우성. 정진열. 최만린. 최민렬. 하승연. 현중화. 황석봉. 황인기. 황창배 (가나다 순),2020.05.06-2020.08.23,전관
과거전시,서울,수평의 축,에이샤-리사 아틸라. 테레시타 페르난데즈. 바이런 킴. 김세진. 데이비드 내시. 제니퍼 스타인캠프. 토마스 스투르스. 올라퍼 엘리아슨. 앤디 골즈워시. 한스 하케. 박기원. 팀 프렌티스. 헤수스 라파엘 소토. 로랑 그라소. 맵 오피스. 원성원. 한성필,2020.05.06-2020.05.31,2.3.4전시실
과거전시,청주,2019 로비 프로젝트: 홍범,홍범,2019.12.17-2020.03.01,로비
과거전시,과천,한국 비디오 아트 7090: 시간 이미지 장치,김구림. 박현기. 곽덕준. 육근병. 이원곤. 김영진. 함양아 등 한국 비디오 작가 60여 명,2019.11.28-2020.05.31,3. 4. 5. 6전시실
과거전시,국립현대미술관,MMCA 커미션 프로젝트 《당신을 위하여: 제니 홀저》,제니 홀저,2019.11.23-2020.07.05,서울. 과천
과거전시,레지던시,창동레지던시 입주보고서 2019,권병준. 박선민. 이민경 & 루크 슈뢰더. 다니엘 몬로이 쿠에바스. 베로니카 레너. 움베르토 훙카. 훌리아 카리요. 카를로 코린스키. 타일러 코번. 프라우케 슐리츠,2019.11.22-2019.12.01,창동레지던시
과거전시,레지던시,오픈스튜디오15,강호연. 고사리. 김동현. 김재민이. 김정모. 민혜기. 박관택. 박지혜. 여다함. 옥정호. 이원우. 전보경. 정재경. 최윤석. 웨이신 ? 총,2019.11.07-2019.11.09,고양레지던시
과거전시,서울,MMCA 현대차 시리즈 2019: 박찬경 ? 모임 Gathering,박찬경,2019.10.26-2020.02.23,5전시실
과거전시,과천,국립현대미술관 개관 50주년 기념전 《광장: 미술과 사회 1900-2019》2부. 1950-2019,김환기. 이중섭. 이승택. 성능경. 오윤. 윤석남. 안상수. 최춘웅. 이재욱. 크리스티앙 볼탕스키 등 작가 220여명,2019.10.17-2020.03.29,과천관 1. 2 전시실. 중앙홀. 원형전시실
과거전시,덕수궁,국립현대미술관 개관 50주년 기념전 《광장: 미술과 사회 1900-2019》1부. 1900-1950,채용신. 오세창. 안중식. 김용준. 김환기. 이쾌대. 이중섭 등 80여명,2019.10.17-2020.02.09,전관
과거전시,서울,올해의 작가상 2019,김아영. 박혜수. 이주요. 홍영인,2019.10.12-2020.03.01,1.2전시실
과거전시,청주,현대회화의 모험:나는 나대로 혼자서 간다,17명(권순영.박경진.서고운.안두진.안지산.양유연.왕선정.우정수.이샛별.이소연.이우성.이호인.장종완.전현선.조문기.최병진.최수진),2019.09.27-2020.03.29,기획전시실
과거전시,서울,국립현대미술관 50주년 기념전 《이경성을 회고하다》,이경성,2019.09.27-2020.03.29,디지털아카이브
과거전시,청주,야외프로젝트 《코디 최: 베네치안 랩소디-허세의 힘》,코디 최,2019.09.26-2020.09.06,입구 외벽
과거전시,서울,국립현대미술관 개관 50주년 기념전 《광장: 미술과 사회 1900-2019》3부. 2019,김희천. 날리니 말라니. 신승백 김용훈. 송성진. 에릭 보들레르. 오형근. 요코미조 시즈카. 정서영. 주황. 함양아. 홍승혜. 홍진훤 등 총 19명,2019.09.07-2020.03.29,3. 4. 8 전시실
과거전시,국립현대미술관,덕수궁-서울 야외 프로젝트: 기억된 미래 ,뷰로 스펙타큘러. 씨엘쓰리. 오비비에이. 오브라 아키텍츠. 스페이스 파퓰러,2019.09.05-2020.04.05,덕수궁.서울
과거전시,서울,김순기: 게으른 구름,김순기,2019.08.31-2020.01.27,6. 7전시실 및 전시마당
과거전시,레지던시,평평한 세계와 마주보기,모니카 로페즈 데 빅토리아. 소냐 소피아 야코블레바. 쉬엔-전 랴오. 아네타 카이저. 아르튀르 데마르또. 히로후미 마스다,2019.08.09-2019.08.22,고양레지던시
과거전시,청주,야외프로젝트 《최정화: 민들레》,최정화,2019.07.16-2020.10.04,잔디광장
과거전시,청주,나만의 보물을 찾아서 : Secret Storage,총 116명,2019.06.25-2019.12.31,개방수장고
과거전시,과천,젊은모색 2019: 액체 유리 바다,김지영. 송민정. 안성석. 윤두현. 이은새. 장서영. 정희민. 최하늘. 황수연,2019.06.20-2019.09.15,2전시실
과거전시,과천,탄생 100주년 기념-곽인식,곽인식,2019.06.13-2019.09.15,1전시실. 중앙홀
과거전시,레지던시,약속된 미래,권병준. 박선민. 이민경. 루크 슈뢰더. 란티엔 시에. 후안 파블로 에체베리,2019.05.31-2019.06.09,창동레지던시
과거전시,덕수궁,근대미술가의 재발견 1,정찬영. 백윤문. 정종여. 임군홍. 이규상. 정규,2019.05.30-2019.09.15,전관
과거전시,서울,떠도는 영상들의 연대기,국립현대미술관에서 단채널 작품을 소장하고 있는 작가,2019.05.30-2019.08.25,디지털정보실 3층 디지털아카이브
과거전시,서울,박서보: 지칠 줄 모르는 수행자,박서보,2019.05.18-2019.09.01,1. 2 전시실
과거전시,서울,안톤 비도클: 모두를 위한 불멸,안톤 비도클,2019.04.27-2019.07.21,6전시실
과거전시,서울,대안적 언어 ? 아스거 욘. 사회운동가로서의 예술가,아스거 욘,2019.04.12-2019.09.08,5전시실. 서울박스
과거전시,어린이미술관,#보다 ,김범. 세자르 발다치니. 안규철. 이건용. 이동욱. 토마스 스트루스,2019.03.27-2020.08.31,
과거전시,서울,불온한 데이터 ,Superflex. Cao Fei. Forensic Architecture. Racheal Ara. Zach Blas. Simon Denny. Chris Shen. Harm van den Dorpel. 김실비. 김웅현,2019.03.23-2019.07.28,3. 4 전시실
과거전시,과천,신소장품 2017-2018,이중섭. 이응노. 한스 하케 외 70 여 명,2019.03.21-2019.09.01,1원형전시실
과거전시,과천,세상에 눈뜨다: 아시아 미술과 사회 1960s - 1990s,100여명,2019.01.31-2019.05.06,1. 2 전시실 및 중앙홀
과거전시,청주,별 헤는 날: 나와 당신의 이야기,김을. 강익중. 김수자. 정연두. 원성원. 김옥선. 이선민. 김상우. 차재민. 최수앙. 전소정. 임흥순. 양정욱. 김다움. 고재욱,2018.12.27-2019.08.25,기획전시실
과거전시,서울,마르셀 뒤샹 ,마르셀 뒤샹,2018.12.22-2019.04.07,1. 2 전시실
과거전시,서울,《미장센: 이미지의 역사》 ,박찬경. 송상희. 임흥순,2018.12.05-2019.04.28,디지털정보실 3층 디지털아카이브
과거전시,레지던시,창동레지던시 입주보고서 2018,성낙희. 송주원. 라킨 오군반워. 마이클 저스트. 카로 악포키에르. 켈리 사피아 막슈드. 팅-팅 쳉,2018.11.23-2018.12.02,창동레지던시
과거전시,덕수궁,대한제국의 미술-빛의 길을 꿈꾸다,안중식. 조석진. 채용신. 이도영. 김규진. 김은호 등 15여 명,2018.11.15-2019.02.06,전관
과거전시,레지던시,2018 고양레지던시 ≪오픈스튜디오 14≫,김도희. 김두진. 김소영. 민예은. 박석민. 송민규. 신이피. 안유리. 오화진. 이민하. 이재욱. 정혜정. 조은용. 허수영. 다니엘 슈투벤폴. 루오 저신. 루트 후터. 안드레스 브리손. 켄지 마키조노. 필립 알라르,2018.11.09-2018.11.11,고양레지던시
과거전시,서울,《하룬 파로키 ? 우리는 무엇으로 사는가?》,하룬 파로키 ,2018.10.27-2019.04.07,6.7 전시실. 미디어랩
과거전시,과천,문명: 지금 우리가 사는 방법,130여명,2018.10.18-2019.02.17,1원형전시실
과거전시,과천,소장품 특별전 《균열 Ⅱ: 세상을 보는 눈/ 영원을 향한 시선》,오인환. 노순택. 구민자. 김환기. 유영국. 백남준 등 55인,2018.09.18-2019.10.20,3. 4전시실. 2층 회랑
과거전시,서울,《MMCA 현대차 시리즈 2018: 최정화 ? 꽃.숲》,최정화,2018.09.05-2019.03.03,5전시실. 미술관 마당 
과거전시,과천,김중업 다이얼로그,김중업,2018.08.30-2018.12.16,2전시실 및 중앙홀
과거전시,서울,올해의 작가상 2018,구민자. 옥인 콜렉티브(김화용. 이정민. 진시우). 정은영. 정재호,2018.08.11-2018.11.25,1. 2전시실
과거전시,서울,윤형근 ,윤형근 ,2018.08.04-2019.02.06,3.4.8전시실
과거전시,고양레지던시,여행의 기술: The Art of Travel,다니엘 슈투벤폴. 루오 저신. 루트 후터. 켄지 마키조노. 필립 알라르 ,2018.07.27-2018.08.09,
과거전시,과천,박이소: 기록과 기억,박이소,2018.07.26-2018.12.16,1전시실
과거전시,서울,뉴미디어 아카이브 《알레고리. 사물들. 기억술》,구동희. 김세진. 김아영. 안정주,2018.07.25-2018.11.25,디지털정보실 3층 디지털아카이브 
과거전시,과천,소장품전: 근대를 수놓은 그림   ,이중섭. 김환기 등 100여명,2018.07.11-2019.06.23,5.6 전시실
과거전시,레지던시,모두의 변주곡,방혜진. 성낙희. 송주원. 쿤 타스랄. 쥬느비에브 아켄. 파비오 라탄치 안티노리,2018.06.01-2018.06.10,창동레지던시
과거전시,서울,예술과 기술의 실험(E.A.T.): 또 다른 시작,로버트 라우센버그. 로버트 휘트먼. 존 케이지. 머스 커닝햄. 백남준. 앤디 워홀. 로버트 브리어. 토니 마틴. 한스 하케. 장 뒤피. 멜 보크너. 안나 룬드 등,2018.05.26-2018.09.16,6.7전시실
과거전시,서울,아크람 자타리: 사진에 저항하다,아크람 자타리(Akram Zaatari),2018.05.11-2018.08.19,5전시실
과거전시,덕수궁,내가 사랑한 미술관: 근대의 걸작展,안중식. 이상범. 고희동. 김종태. 오지호. 김환기. 박수근. 이중섭 등 한국 대표 근대작가 70여명,2018.05.03-2018.10.14,1~4전시실
과거전시,과천,《기증작품 특별전 2010-2018》,강운구 작가 등 47명 ,2018.04.25-2018.12.16,2원형 전시실
과거전시,서울,2018  아시아 기획전 《당신은 몰랐던 이야기》,티모테우스 앙가완 쿠스노. 요게쉬 바브. 장 쉬잔. 타오 후이. 염지혜. 카마타 유스케. 엘리아 누비스타. 안유리. 마르타 아티엔자. 황 포치. 마크 살바투스. 후지이 히카루. 맵오피스. 루앙루파+세룸. 98B 콜라보레이터리(총 15인/그룹),2018.04.07-2018.07.08,1.2.3.4전시실 및 공용공간
과거전시,과천,탄생 100주년 기념. 이성자_지구 반대편으로 가는 길,이성자,2018.03.22-2018.07.29,2전시실. 중앙홀
과거전시,어린이미술관,예술이 잇는 세상,김민애. 김범. 샌디 스코글런드. 필리프 라메트. 호상근,2018.03.22-2019.01.31,국립현대미술관 과천관 어린이미술관
과거전시,과천,이정진: 에코-바람으로부터,이정진,2018.03.08-2018.07.01,1전시실
과거전시,과천,소장품 특별전: 동시적 순간,김희천. 남화연. 박찬경. 안정주. 오민. 전소정,2018.02.15-2018.09.16,1원형 전시실
과거전시,덕수궁,신여성 도착하다,김인숙. 나상윤. 나혜석. 박래현. 박을복. 배정례. 이현옥. 전명자. 정찬영. 천경자 등 총 68명 ,2017.12.21-2018.04.01,1~4 전시실
과거전시,서울,국립현대미술관 현대차시리즈 2017 : 임흥순 <우리를 갈라놓는 것들> ,임흥순,2017.11.30-2018.04.08,5. 7 전시실 및 전시마당. 복도공간 등
과거전시,레지던시,국립현대미술관 《창동레지던시 입주보고서 2017》,손광주. 진시우. 최 선. 아리쥐 카우드. 왈리드 알 와위. 마말리 샤파히. 모즈타바 아미니. 리 카이 청. 호르헤 마이네스 루비오 ,2017.11.17-2017.11.26,창동 레지던시
과거전시,서울,요나스 메카스: 찰나. 힐긋. 돌아보다,요나스 메카스,2017.11.08-2018.03.04,6전시실
과거전시,과천,리처드 해밀턴,리처드 해밀턴,2017.11.03-2018.01.21,1전시실
과거전시,레지던시,2017 고양레지던시 《오픈스튜디오 13》,구수현. 권도연. 권혜원. 김남훈. 김민정. 김수연. 김은형. 김하연. 신정균. 우정수. 이은영. 전명은. 전혜림. 정성윤. 최성록. 하석준. 루디 드슬리에르. 마티유 라튈리프. 야스민 베르너. 유스케 카마타. 치웅-팡 창. 클라우디아 슈미츠. 하딤 알리,2017.10.20-2017.10.22,
과거전시,과천,2017 MMCA 페스티벌 : 예술로(路) 오름,강영호. 신해철. 오은. 오재우. 옥정호. 정원연. 한유주. 홍보람. NASA Park,2017.09.23-2017.09.24,야외조각공원
과거전시,과천,역사를 몸으로 쓰다,국내외 작가 38명,2017.09.22-2018.01.21,1원형전시실
과거전시,서울,올해의 작가상 2017,박경근. 백현진. 송상희. 써니 킴,2017.09.13-2018.02.18,1. 2전시실
과거전시,서울,종이와 콘크리트: 한국 현대건축 운동 1987-1997,청년건축인협의회. 건축운동연구회. 수도권건축학도협의회.민족건축인협의회. 건축의미래를준비하는모임. 4.3그룹. 서울건축학교. 경기대 건축전문대학원. 선경건축스튜디오. 한샘기행 및 출판?저널·비평 관련 단체 등 +성재혁. 김경태. 더도슨트,2017.09.01-2018.02.18,3. 4전시실
과거전시,덕수궁,<덕수궁 야외프로젝트 : 빛?소리?풍경>,강애란. 권민호. 김진희. 양방언. 오재우. 이진준. 임수식. 장민승. 정연두,2017.09.01-2017.12.28,야외
과거전시,과천,층과 사이,50여명,2017.09.01-2018.04.29,5. 6전시실
과거전시,레지던시,2017 고양레지던시 국제교환입주 해외작가전 《첫눈에 반하다》,루디 드슬리에르. 마티유 라튈리프. 야스민 베르너. 유스케 카마타. 치웅-팡 창. 클라우디아 슈미츠. 하딤알리,2017.08.03-2017.08.17,고양 레지던시
과거전시,과천,심문섭. 자연을 조각하다,심문섭,2017.07.14-2017.10.09,1. 2전시실. 중앙홀
과거전시,서울,젊은 건축가 프로그램 2017,국내작가 약 23명,2017.07.11-2017.10.09,8전시실 및 미술관마당
과거전시,서울,크지슈토프 보디츠코: 기구. 기념비. 프로젝션,크지슈토프 보디츠코,2017.07.05-2017.10.09,5. 7전시실
과거전시,레지던시,제 3의 언어,손광주. 진시우. 최 선. 파레틴 오렌리. 에밀리 베이츠. 팀 써즈데이. 엠마 코랄,2017.05.25-2017.06.11,창동레지던시
과거전시,서울,불확정성의 원리,왈리드 라드. 호추니엔. 재커리 폼왈트. 권하윤,2017.05.24-2017.10.09,6전시실 및 멀티프로젝트홀
과거전시,레지던시,2017 고양레지던시 입주작가 소개전 《INTRO》,구수현. 권도연. 권혜원. 김남훈. 김민정. 김수연. 김은형. 김하연. 신정균. 우정수. 이은영. 전명은. 전혜림. 정성윤. 최성록. 하석준,2017.05.18-2017.06.01,고양레지던시
과거전시,덕수궁,예술이 자유가 될 때: 이집트 초현실주의자들(1938-1965),1930-60년대 활동 이집트 초현실주의 작가 31명,2017.04.28-2017.07.30,1~4 전시실
과거전시,과천,국립현대미술관 소장품특별전: 균열,국내작가 100여명,2017.04.19-2018.04.29,3. 4전시실
과거전시,과천,한국현대미술작가 시리즈 윤승중 : 건축. 문장을 그리다,윤승중,2017.04.14-2017.08.06,5전시실
과거전시,과천,한국현대미술작가 시리즈 한정식 : 고요,한정식,2017.04.14-2017.08.06,6전시실
과거전시,과천,레슨 제로,국내외작가 18명,2017.03.31-2017.06.18,2전시실
과거전시,어린이미술관,미술관을 멋지게 즐기는 5가지 방법,,2017.03.31-2018.01.31,어린이미술관
과거전시,서울,신소장품 2013~16 삼라만상: 김환기에서 양푸둥까지,약 70명,2017.03.13-2017.08.13,1~4전시실
과거전시,과천,한국현대미술작가 시리즈 <송번수_50년의 무언극>,송번수,2017.03.10-2017.06.18,1전시실 및 중앙홀
