전시구분, 장소, 제목, 참여작가, 기간, 전시실
과거전시,서울,≪미각의 미감≫,감동환. 바스 스티트겐. 스테파니 리틀러. 강주성. 고든 마타-클락. 김다움. 김종범. 김태범. 마르쉐@친구들. 보니 오라 셔크. 송전동. 아키타입. 안아라. Ab그룹(이혜연). 호르헤 마이네스 루비오,2016.12.05-2017.03.19,8전시실 외 기타 공간
과거전시,레지던시,《무인지대 No Man's Land》,리사 명주 키어리(호주). 막시모 코르발란-핀체이라(칠레). 엔리케 라미레즈(칠레). 이고르 비도르(브라질). 타일러 스테파니치(미국). 팀 브루커스(네덜란드). 파블로 로바토(브라질) ,2016.11.17-2016.12.04,창동레지던시
과거전시,덕수궁,유영국. 절대와 자유,유영국,2016.11.04-2017.03.01,제 1~4 전시실
과거전시,서울,<식물도감: 시적 증거와 플로라>,김지원. 신혜우. 이소요. 조혜진,2016.10.31-2017.03.19,교육동 3층 디지털아카이브
과거전시,서울,MMCA-현대차 l 뮤지엄 페스티벌: 마당 ,서울시향 첼로 앙상블. 장혜연(영상)+이병우(기타). 김세진(영상)+THSS(최태현. 민성식/사운드). 구영준(패션사진). 박승원(퍼포먼스). 산업예비군(김현준. 유화수. 이완/현장설치). 구민정(현장설치). 윤가림. 김주헌(현대무용가 겸 DJ). 하림(가수). 리 갬블(사운드). 다미라트(사운드). 트랜지스터헤드(사운드) 등 ,2016.10.26-2016.10.30,1층 로비. 미술관 마당. 종친부마당. 멀티프로젝트홀. 1층 주차장. 교육동 등 
과거전시,레지던시,2016 고양레지던시 《오픈스튜디오 12》,고재욱. 곽이브. 김남현. 김라연. 김신영. 김잔디. 김준. 심승욱. 연기백. 유화수. 윤지영. 이지양. 장서영. 최태훈. 최형욱. 황문정. Musquiqui Chihying. Eva Kietzmann. Marilyn Schneider. Damian Siqueiros. Daniel Stempfer. Takayuki Yamamoto,2016.10.21-2016.10.23,고양레지던시 입주 작가 개별 스튜디오 및 진시실. 중앙홀. 테라스 등
과거전시,서울,대한항공 박스 프로젝트 2016 <양지앙 그룹: 서예. 가장 원시적인 힘의 교류>,양지앙 그룹 / Yangjiang Group,2016.10.18-2017.08.27,서울박스
과거전시,서울,《보이드》,김희천. 오픈하우스서울(임진영. 염상훈. 성주은. 김형진. 최진이). 옵.신(서현석. 김성희. 슬기와 민). 장민승+정재일. 최춘웅,2016.10.12-2017.03.12,서울관 6전시실. 7전시실. 미디어랩. 기타 외부 공간 
과거전시,레지던시,창동레지던시 입주보고서 2016,김기수. 김은진. 백현진. 정지윤(2016년 창동레지던시 국내 입주 작가 4명),2016.10.07-2016.11.06,창동레지던시
과거전시,서울,올해의 작가상 2016,김을. 백승우. 함경아. 믹스라이스(양철모. 조지은),2016.08.31-2017.02.19,제1.2전시실
과거전시,서울,<공예공방│공예가 되기까지> ,이봉주. 고보형. 배연식. 강기호. 박미옥. 오화진 ,2016.08.31-2017.01.30,제 3. 4전시실 
과거전시,과천,국립현대미술관 과천30년 특별전 <달은. 차고. 이지러진다>,국내외 300여명(개인 및 그룹),2016.08.19-2017.03.19,1~6전시실. 1원형전시실. 중앙홀
과거전시,과천,국립현대미술관 과천30년 특별전 <공간 변형 프로젝트-상상의 항해>,국내외 건축가 30팀,2016.08.19-2017.03.19,3층 통로/온라인 전시
과거전시,서울,2016 다원예술프로젝트 <국립현대미술관 x 국립현대무용단 퍼포먼스 : 예기치 않은>,고재욱. 안데스. 이태원. 옥정호. 조형준. 김숙현&조혜정&김성현. 진달래&박우혁. 황수현. 김뉘연&전용완. 김보라&김재덕. 이재영. 태이. 김정선&마티아스 등 13팀,2016.08.17-2016.10.23,내. 외부 및 멀티프로젝트홀
과거전시,서울,국립현대미술관 현대차 시리즈 2016 : 김수자- 마음의 기하학,김수자,2016.07.27-2017.02.05,서울관 제5전시실 및 전시마당
과거전시,서울,MMCA 싱글채널 비디오 컬렉션 - 시적 모험,곽덕준 외 6명,2016.07.26-2016.08.07,멀티프로젝트홈
과거전시,과천,국립현대미술관 과천30년 특별전 <아카이브 프로젝트-기억의 공존>,,2016.07.15-2018.02.25,2원형전시실
과거전시,레지던시,2016 고양레지던시 국제교환입주 해외작가전 《플래시FLASH: 남겨진 이미지들》,무스퀴퀴 취잉. 에바 키츠만. 마릴린 슈나이더. 다미안 시퀘이로스. 다니엘 슈템퍼. 타카유키 야마모토,2016.07.14-2016.07.27,고양레지던시
과거전시,서울,젊은 건축가 프로그램 2016,신스랩 건축(최종 건축가) 포함하여 22팀,2016.07.06-2016.10.03,미술관 마당 및 8 전시실
과거전시,해외,2016 한-호 국제교류전 [뉴 로맨스 : 아트 앤 포스트 휴먼],강애란. 문경원&전준호. 양원빈. 이기봉. 이상현. 이소요. 진시영(한국). 레베카 바우만. 헤이든 파울러. 이안 번즈. 패트리샤 피치니니. 저스틴 숄더. 웨이드 마리노우스키. 스텔락&니나 셀라스. 지셀레 스탄보로(호주),2016.06.30-2016.09.04,호주현대미술관 (시드니)
과거전시,덕수궁,백년의 신화: 한국근대미술 거장전 이중섭 1916~1956,이중섭,2016.06.03-2016.10.03,제 1~4 전시실
과거전시,레지던시,2016 고양레지던시 입주 작가 소개 전시 《INTRO》,고재욱. 곽이브. 김남현. 김라연. 김신영. 김잔디. 김  준. 심승욱. 연기백. 유화수. 윤지영. 이지양. 장서영. 최태훈. 최형욱. 황문정,2016.05.31-2016.06.12,고양레지던시
과거전시,레지던시,2016 상반기 창동레지던시 입주 작가 전시 <무제한의 제한>,니콜라스 바칼(아르헨티나). 발레리아 콘테 막 도넬(아르헨티나). 야웬 푸(대만). 크리스 쉔(영국). 티몬 반 데어 하이든(네덜란드),2016.05.27-2016.06.15,창동레지던시
과거전시,서울,예술가의 문서들 : 예술. 타이포그래피 그리고 협업,케이스 하우츠바르트. 바르트 로데베이크스. 마르크 만더르스. 마르크 나흐참. 바티아 쉬터르. 로허르 빌럼스,2016.05.26-2016.08.31,디지털아카이브
과거전시,과천,한국현대미술작가시리즈 김봉태,김봉태,2016.05.25-2016.07.10,제 2전시실. 중앙홀
과거전시,과천,과천관 30주년 기념전 무릎을 뚫고 턱으로 빠지는 노래 - 김소라 프로젝트,김소라. 협업음악가(강태환. 계수정. 박민희. 방준석. 손경호. 최태현. 황병기. 알프레드 하르트),2016.05.25-2016.07.10,제 1 전시실
과거전시,서울,아주 공적인 아주 사적인 : 1989년 이후. 한국현대미술과 사진,주명덕. 구본창. 배병우. 김대수. 김장섭. 민병헌 외 80여 명,2016.05.04-2016.07.24,제1.2.3.4전시실
과거전시,서울,망상지구,이형주(프로젝트 디렉터). 김세진. 달파란. 박용석. 오영훈. 윤석무. 장영규. 장진영. 정태효. 조은지,2016.04.27-2016.07.17,제6전시실
과거전시,서울,에코 시스템: 질 바비에,질 바비에(Gilles Barbier),2016.04.13-2016.07.31,제7전시실. 미디어 랩
과거전시,과천,한국현대미술작가시리즈 <김형대 회고전>,김형대,2016.04.08-2016.07.17,제 4전시실 및 회랑 일부
과거전시,어린이미술관,미술관을 멋지게 즐기는 5가지 방법,,2016.03.29-2017.01.30,어린이미술관
과거전시,과천,한국현대미술작가시리즈 <초록빛 환영_이숙자>,이숙자,2016.03.25-2016.07.17,제 3전시실. 2층 회랑
과거전시,과천,과천 30년 기념 퍼포먼스: 김구림의 현상에서 흔적으로전 ,,2016.03.18-2016.03.18,야외 조각공원
과거전시,과천,한국현대미술작가시리즈 <최현칠_동행. 함께 날다>,최현칠,2016.03.11-2016.06.12,제 2원형전시실
과거전시,덕수궁,변월룡(Пен Варлен) 1916~1990,변월룡,2016.03.03-2016.05.08,제 1.2.3.4전시실
과거전시,과천,과천관 30년 특별전: 한국현대미술작가시리즈 <김태수>,김태수,2016.02.19-2016.06.06,제 5전시실
과거전시,과천,한국현대미술작가시리즈_사진: <육명심>,육명심,2015.12.11-2016.06.06,제 6전시실 및 3층 회랑
과거전시,서울,윌리엄 켄트리지 William Kentridge,윌리엄 켄트리지,2015.12.01-2016.03.27,제 2.3.4전시실
과거전시,과천,《멋의 맛_조성묵》전,조성묵,2015.12.01-2016.06.06,제 1원형전시실
과거전시,서울,필립 가렐 - 찬란한 절망,필립 가렐,2015.11.25-2016.02.28,제7전시실. 미디어랩
과거전시,덕수궁,한국화 소장품 특별전 제2부 <독화(讀畵). 그림을 읽다>,안중식. 조석진. 김은호. 이상범. 변관식. 허백련. 김규진 등 50여 명,2015.11.24-2016.02.10,제 1.2.3.4전시실
과거전시,과천,오승우 기증작품특별전,오승우,2015.11.24-2016.05.29,제 4전시실 내 기증작품 상설전시 공간
과거전시,레지던시,2015 하반기 창동레지던시 입주작가 결과전 《소우주》,"슈테판 티펜그라비아(오스트리아). 조셉 바레쉬(체코). 퀸 동(스위스). 도아 알리(이집트).	엘레오노르 상태뇽(프랑스). 올리비에 세베르(프랑스). 히로코 오카다(일본). 히카루 후지이(일본)",2015.11.19-2015.12.06,창동레지던시
과거전시,레지던시,고양레지던시 오픈스튜디오 11: De-Position,강민수. 권아람. 김가람. 김경호. 김동희. 김무영. 노기훈. 박승원. 박종호. 박호은. 백현주. 서해영. 안진균. 앙드레 마에노. 윤향로. 임주연. 정지현. 최수정. 크리스티나 마야 레옹,2015.11.13-2015.11.15,고양레지던시 전시실 및 19개 스튜디오
과거전시,서울,《님의 정원: 조덕현 아카이브》전,조덕현,2015.11.11-2016.04.16,디지털정보실 3층 디지털아카이브
과거전시,서울,대한항공 박스 프로젝트 2015: 율리어스 포프,율리어스포프(Julius Popp),2015.11.10-2016.09.04,서울박스
과거전시,과천,아티스트 파일 2015: 동행,12명,2015.11.10-2016.02.14,제 1전시실. 중앙홀
과거전시,서울,창동레지던시 입주보고서 2015: 임흥순. 장윤성. 진달래,임흥순. 장윤성. 진달래,2015.11.04-2015.11.29,제 8전시실
과거전시,해외,시애틀미술관 한국현대미술전: 장소의 패러독스,노순택. 양혜규. 이수경. 이용백. 임민욱. 정연두,2015.10.31-2016.03.13,시애틀 아시아 미술관
과거전시,서울,기증작품 특별전 〈서세옥〉전 ,서세옥,2015.10.27-2016.04.03,제1전시실
과거전시,해외,국립현대미술관 레지던시 작가전 <폐허에서>,김지은. 박승원. 박은하. 윤향로. 이우성. 이해민선. 정지현. 조혜진,2015.10.22-2015.11.21,주상하이한국문화원
과거전시,서울,2015 한-호 국제교류전 뉴 로맨스,레베카 바우만. 이안 번즈. 헤이든 파울러. 진시영. 정승. 강애란. 이상현. 이소요. 웨이드 메리노우스키. 패트리샤 피치니니. 이기봉. 저스틴 숄더. 스텔락. 양원빈,2015.09.22-2016.01.24,제6전시실.전시마당.멀티프로젝트홀
과거전시,서울,국립현대미술관 현대차 시리즈 2015: 안규철 - 안 보이는 사랑의 나라,안규철,2015.09.15-2016.05.22,제5전시실
과거전시,과천,한국화 소장품 특별전 제1부 <멈추고. 보다>,70여명,2015.09.08-2016.03.06,제 3. 4 전시실 및 회랑
과거전시,과천,한국현대미술작가시리즈 《최종태》,최종태,2015.09.01-2015.11.29,제 2전시실
과거전시,해외,미래는 지금이다,문경원+전준호 <엘 핀 델 문도> 등 33작가,2015.08.29-2015.11.29,프랑스 마르세유 라 프리쉬 벨 드 메
과거전시,서울,交. 향 Graphic Symphonia,한.일 그래픽 디자이너 112 명,2015.08.11-2015.10.18,제7전시실. 미디어랩
과거전시,서울,올해의 작가상 2015,김기라. 나현. 오인환. 하태범,2015.08.04-2015.11.05,제3. 4 전시실
과거전시,서울,"시민과 함께 하는 광복 70년 위대한 흐름 "" 소란스러운. 뜨거운. 넘치는""",고영훈. 김구림. 김기승. 김범. 김아타 등 110여명,2015.07.28-2015.10.11,제 1. 2전시실 및 주변공간
과거전시,과천,황용엽: 인간의 길,황용엽,2015.07.25-2015.10.11,제 1전시실
과거전시,레지던시,고양레지던시 국제교환입주 해외작가전: 일곱 개의 장면들,마린 도미니자크. 미도리 하리마. 시에 무치. 케빈 플랏. 지몬 스파이저. 카롤라 다이에. 토마스 코에스터,2015.07.23-2015.08.12,고양레지던시
과거전시,덕수궁,거장 이쾌대. 해방의 대서사,이쾌대,2015.07.22-2015.11.01,제 1.2 전시실
과거전시,덕수궁,광복70년 기념 한국근대미술 소장품전,정종여. 류경채 등 51명,2015.07.22-2015.11.01,제 3.4전시실
과거전시,서울,현대카드 컬처프로젝트 18_젊은 건축가 프로그램 2015,SoA(이치훈. 강예린),2015.07.01-2015.09.30,제8전시실. 미술관 마당
과거전시,과천,아키토피아의 실험,강홍구. 김수근. 김용관. 김종규. 김종오. 김준성. 노경. 박정현. 배형민. 서현석. 신경섭. 안세권. 안창모. 옵티컬레이스. 이영준. 이종석. 전몽각. 정다운. 조성욱. 최호철. 플로리안 베이겔. 황효철,2015.06.30-2016.01.03,제 5전시실(건축갤러리)
과거전시,과천,사물의 소리를 듣다_1970년대 이후 한국 현대미술의 물질성,28명,2015.06.23-2015.11.01,제 1원형전시실
과거전시,레지던시,창동레지던시 2015 상반기 입주작가 결과전,네스토 코바체. 린다 하벤슈타인. 마크 오스팅. 바르보라 클라인함플로바. 야쿱 호셰크. 제롬 레이어스. 크리스토프 에세. 크세니아 갈리아에바. 니카 오블락&프리모쉬 노박,2015.05.28-2015.06.14,창동레지던시
과거전시,서울,시징의 세계World of Xijing,시징맨(김홍석. 첸 샤오시옹. 츠요시 오자와),2015.05.27-2015.08.02,제5전시실
과거전시,해외,미래는 지금이다,문경원+전준호 <엘 핀 델 문도> 등 19작가,2015.05.20-2015.08.19,헝가리 한국문화원
과거전시,과천,우리가 알던 도시 - 강홍구. 박진영 사진전,강홍구. 박진영,2015.05.19-2015.11.15,제 6전시실
과거전시,서울,고양레지던시 2015 입주 작가 소개전,2015년 입주 작가 18인. 2014년 국제교환입주프로그램 결과보고전 참여 작가 8인,2015.05.08-2015.05.31,교육동 작업실 1. 2
과거전시,과천,소장품특별전 <무제>,약 40명,2015.05.04-2015.07.26,제 2전시실
과거전시,과천,황규백_보이는 것과 보이지 않는 것,황규백,2015.04.28-2015.08.02,제 4전시실
과거전시,서울,로봇 에세이 Robot Essay,레베카 혼. 비르길 비트리히. 패트릭 트레셋. 피터 윌리엄 홀든. 김상진. 노재운. 신승백 김용훈. EXP LAB ,2015.04.28-2015.07.19,제7전시실. 미디어랩
과거전시,서울,아이콘으로 당신을 표현하세요 ICONUU Iconize you yourself!,ZKM(칼스루에). CIANT(프라하). HANGAR(바르셀로나). BRANIZ(프라하),2015.04.21-2015.10.11,제1전시실 앞 복도
과거전시,과천,최승천_시간의 풍경,최승천,2015.04.14-2015.11.08,제 2원형전시실
과거전시,서울,2015 현장제작설치 인터플레이,아바프. 로스 매닝. 지니 서. 오마키 신지,2015.04.14-2015.08.23,제6전시실
과거전시,과천,오채묵향五彩墨香_송영방,송영방,2015.03.31-2015.06.28,제 1전시실
과거전시,서울,《권진규 아카이브전: 작은 뜨락을 거닐다》,권진규,2015.03.31-2015.08.30,디지털정보실 3층 디지털아카이브
과거전시,덕수궁,기증작가특별전_정탁영,정탁영,2015.03.25-2015.06.28,제 1. 2전시실
과거전시,덕수궁,한국근대미술소장품 기획전 : 관물(觀物). 사물을 보는 법,채용신. 조석진. 김은호. 이응노. 박래현. 이중섭. 장욱진. 권옥연. 송영수. 김정숙. 임숙재. 임응식 등 ,2015.03.25-2015.06.28,제 3. 4전시실
과거전시,서울,2015 다원예술프로젝트 MMCA Performance,김효진. 김성용 댄스컴퍼니 뮈. 김성구 등,2015.03.24-2015.05.06,멀티프로젝트홀
과거전시,해외,<한국 뉴미디어아트>전,문준용. 오용석. 문경원& 전준호. 김세진. 에브리웨어(방현우+허윤실). 유비호,2015.03.21-2015.05.09,이탈리아 피렌체 르 무라트 현대예술센터
과거전시,과천,사물학II : 제작자들의 도시,염승일. 김상규. 인사이트씨잉. 박경근. 최태윤. 송호준. 미디어버스 x 신신. 디디랩. 토머스 트웨이츠. 리슨투더시티. 청개구리 제작소. 다이애나밴드. 이광호 & 서플라이 서울. 제로랩,2015.02.17-2015.06.28,제 3 전시실
과거전시,서울,《환영과 환상》,강영민. 강형구. 고명근. 유현미. 이광호. 천성명. 최수앙,2015.02.10-2015.05.17,제3.4전시실
과거전시,고양레지던시,고양레지던시 《오픈스튜디오10》,강우영. 기슬기. 김미진. 김병주. 김우진. 김웅용. 김은숙. 김인숙. 김진희. 김태동. 박은하. 박준범. 손종준. 이원호. 이은. 이정민. 이창원. 이창훈. 조혜진. 차지량. 홍원석. 히사야 이토(국제교환입주작가),2015.02.06-2015.02.08,
과거전시,과천,박현기 1942-2000 만다라,박현기,2015.01.27-2015.05.25,제 1원형전시실
과거전시,해외,미래는 지금이다! - The Future is Now!,국내 33팀 작가,2014.12.19-2015.03.15,로마 국립21세기현대미술관 1층
과거전시,과천,젊은 모색 2014,김하영. 김도희. 노상호. 조송. 윤향로. 오민. 권용주. 김웅용,2014.12.16-2015.03.29,제 2전시실
과거전시,과천,한국현대미술작가: 김병기,김병기,2014.12.02-2015.03.01,제 1전시실
과거전시,덕수궁,조르조 모란디: 모란디와의 대화,조르조 모란디. 김환기. 도상봉. 박수근. 황규백. 김구림. 최인수. 설원기. 고영훈. 신미경 등,2014.11.20-2015.02.25,제 1. 2전시실
과거전시,레지던시,2014년 하반기 창동레지던시 입주작가 결과보고전 《다른 형태의 관계 Other Forms of Relations》,마르게리타 모스카르디니. 발레리오 로코 오를란도. 비베케 마일방. 안네소피 산달. 오토 후덱. 제나 김. 케빈 가프니. 탄딜레 즈웰리반지. 하이데 힌릭스,2014.11.14-2014.12.07,창동레지던시
과거전시,서울,바우하우스의 무대실험 - 인간. 공간. 기계,발터 그로피우스. 오스카 슐레머. 바실리 칸딘스키. 라즐로 모홀리 나기. 산티 샤빈스키. 파울 클레. 백남준. 김영나. 안상수+파티PaTI. 오재우. 조소희. 한경우 등,2014.11.12-2015.02.22,제 7전시실. 미디어랩. 멀티프로젝트 홀 등
과거전시,서울,한진해운 박스 프로젝트 2014: 레안드로 에를리치,레안드로 에를리치 (Leandro Erlich),2014.11.04-2015.09.13,서울박스
과거전시,서울,서울관 개관 1주년 기념전 《정원》,김보희. 문봉선. 강남미. 이재삼. 이두식. 안성민 등 30여명,2014.10.21-2015.05.10,제 1.2 전시실 및 로비
과거전시,레지던시,국립현대미술관 레지던시 작가전: 끝나지 않은 이야기,나현. 유비호. 이소영. 최원준. 하태범,2014.10.17-2014.11.14,해외(주인도한국문화원(인도 델리)
과거전시,레지던시,2014년 창동레지던시 입주작가전 《밀도. 부피. 시간》,김범수. 이귀영. 정석희,2014.10.10-2014.10.19,서울관 교육동 작업실 1
과거전시,과천,한국현대미술작가 <황종례_부드러운 힘>,황종례,2014.10.07-2015.03.08,제 2원형전시실
과거전시,서울,국립현대미술관 현대차 시리즈 2014: 이불,이 불,2014.09.30-2015.03.29,제 5전시실
과거전시,서울,장소의 재탄생: 한국근대건축의 충돌과 확장,박길룡. 나상진. 차경순. 김중업. 김정수. 김수근. 조성룡. 김인철. 한종률. 민현준 등,2014.09.23-2014.12.14,제 8전시실
과거전시,과천,사진소장품 주제전 '사진의 기술' ,황규태. 이규철. 조희규 등,2014.09.23-2015.04.19,제 6전시실
과거전시,과천,테크놀로지와 예술의 조화_건축가 김종성,김종성,2014.09.23-2015.05.31,제 5전시실
과거전시,서울,2014 현장제작작품설치 프로젝트 <초자연>,김윤철. 리경. 박재영. 백정기. 조이수,2014.09.02-2015.01.18,제 6전시실. 미술관마당
과거전시,덕수궁,한국근대미술소장품 기획전: 나는 세 개의 눈을 가졌다,방혜자. 오치균. 임옥상. 전성우. 한운성. 김보현. 김영주. 원석연. 최욱경 등,2014.08.14-2015.02.25,제 3. 4 전시실
과거전시,덕수궁,기증작가특별전: 적멸의 화가. 정영렬,정영렬,2014.08.14-2014.11.02,제 1. 2전시실
과거전시,서울,다원예술프로젝트 Ⅱ-안녕! 헬로!,방혜진. 정영두. 백현진. 김웅용.비디오 릴레이 탄산 (김이박. 이지영. 권세정). 김실비. 하이에나즈. 니콜라스 펠처,2014.08.14-2014.08.31,B1 멀티프로젝트홀 및 미술관 내부
과거전시,서울,매트릭스: 수학_ 순수에의 동경과 심연,베르나르 브네. 에카테리나 에레멘코. 랜덤웍스. 슬기와 민. 송희진. 자비에 베이앙. 국형걸. 유지원. 카스텐 니콜라이. 김경미. 이상민. 이강성. 고병량,2014.08.12-2015.01.11,제 3. 4 전시실
과거전시,과천,올해의 작가상 2014,구동희. 김신일. 노순택. 장지아,2014.08.05-2014.11.09,제 1. 2 전시실 및 중앙홀
과거전시,과천,현대미술 읽기: 신소장품 2012,이강우. 백승우. 니키 리. 성남훈. 안규철. 조소희. 배영환. 김범. 난다. 양아치. 김홍식 등 44명,2014.07.15-2015.03.01,제 4전시실
과거전시,서울,나의 예술적 고향: 라인란트의 백남준,백남준,2014.07.10-2014.09.30,디지털정보실 3층
과거전시,서울,현대카드 컬처프로젝트 15_젊은 건축가 프로그램,문지방(권경민. 박천강. 최장원) 등 40여 명 ,2014.07.08-2014.10.05,미술관 마당 및 7 전시실
과거전시,과천,소장품특별전 <벽>,곽남신. 김인겸. 신성희. 신작철. 오윤. 원인종. 장화진. 톰 위셀만. 로버트 라우센버그. 프랭크 스텔라. 조나단 브로프스키. 미켈란젤로 피스톨레토,2014.07.01-2015.07.26,2. 3층 회랑
과거전시,과천,한국현대미술작가시리즈 《달팽이 걸음_이건용》,이건용,2014.06.24-2014.12.14,제 1 원형전시실
과거전시,과천,디자인기획전 《사물학-디자인과 예술》,메티유 메르시에. 문경원. 전준호. 박미나. 김범. 안규철. 잭슨홍. 박진우. 양혜규. 신미경. 박불똥. 황두진. 김봉태. 김보연. 도널드 저드. 박원민. 김상훈. 한정현. 현박 등(총 29명),2014.06.05-2015.01.11,제 3 전시실
과거전시,서울,다원예술프로젝트 01-무잔향,가이 셔윈. 린 루. 그렉 폽. 타쿠 스기모토. 다케시 이케다. 모에 카무라. 라이오넬 파룬. 에티엔 카이에. 마티야 슐렌더. 최준용. 스클라벤타츠(최정훈&조용훈). 사비에 퀘렐. 제롬 노팅거. 그리스토프 어거. 앤소니 맥콜. 케빈 드럼. 위르겐 레블. 토마스 코너. A Typist(류한길. 김태용. 로위에). 타쿠 우나미. 홍철기,2014.05.23-2014.05.25,B1 멀티프로젝트홀
과거전시,서울,소장품특별전 《코리안 뷰티: 두 개의 자연》,송현숙. 이우환. 김주현. 김광수. 한정식. 최호철. 김상우. 김수익. 사석원 등,2014.05.17-2014.09.28,제 1. 2 전시실
과거전시,덕수궁,기증작가특별전 `수묵인. 남천 송수남`,송수남,2014.05.13-2014.07.27,제3. 4전시실
과거전시,서울,인피니트 챌린지,김순기(한국). 날리니 말라니(인도). 사흐지아 시칸더(파키스탄). 쉴파 굽타(인도). 슈리쳉(타이완). 차오 페이(중국). 틴틴 울리아(인도네시아)  ,2014.04.29-2014.07.13,제 3. 4전시실
과거전시,과천,한국현대미술작가 <강찬균_새 손길>,강찬균,2014.04.22-2014.08.24,제 2 원형전시실
과거전시,서울,예스퍼 유스트: 욕망의 풍경,예스퍼 유스트,2014.04.19-2014.08.03,제 6전시실. 창고
과거전시,서울,창작스튜디오 신 입주 작가 소개전 《INTRO》,강우영. 기슬기. 김미진. 김범수. 김병주. 김우진. 김웅용. 김은숙. 김인숙. 김진희. 김태동 등 ,2014.04.18-2014.04.27,교육동 작업실 Ⅰ.Ⅱ
과거전시,덕수궁,대한민국예술원 개원 60년: 어제와 오늘,천경자. 이준. 백문기. 문학진. 전뢰진. 권순형. 오승우. 잉광노. 윤영자 등 57명 ,2014.04.17-2014.07.27,제 1. 2 전시실
과거전시,과천,한국현대미술작가: 최만린,최만린,2014.04.08-2014.07.06,제 1 전시실 및 중앙홀
과거전시,서울,<쉬린 네샤트>전,쉬린네샤트,2014.04.01-2014.07.13,제 5 전시실
과거전시,과천,한국현대미술작가시리즈 ≪구름과 산_조평휘≫전,조평휘,2014.03.25-2014.07.06,제 2전시실
과거전시,서울,구본창 아카이브: 18개의 전시,구본창,2014.02.11-2014.05.31,디지털정보실 3층
과거전시,과천,이타미 준: 바람의 조형,이타미 준,2014.01.28-2014.08.31,제 5 전시실
과거전시,레지던시,고양창작스튜디오 국제교환입주 결과 보고전 《EX-AIR: 경험의 공기》전,고양창작스튜디오 2013년 입주작가 8인(김경주. 김덕영. 김도경. 김수환. 김효숙. 심래정. 애나한. 장우진),2014.01.24-2014.02.14,창동창작스튜디오 제 1. 2 전시실
